Código,Tipo,Liquidación,Fecha,Hora,Moneda,Variación,Último Pcio.,Apertura,Cierre Ant.,Pcio. Máx.,Pcio. Mín.,V.Nominal,Mto. Negoc.,OP
,S27F6,LETRAS TESORO NAC,24 hs.,28/10/2025 16:50,Pesos Argentinos,"1,60%","$125,99","$124,00","$124,00","$136,73","$119,00",V$17.159.726,$21.980.134,228
,,,,,,,,,,,,,,
,S28N5,LETRAS TESORO NAC,Inmed.,28/10/2025 17:00,Pesos Argentinos,"0,62%","$120,30","$119,50","$119,55","$120,50","$118,51",V$4.351.012.414,$5.197.003.021,4.813
,,,,,,,,,,,,,,
,S28N5,LETRAS TESORO NAC,24 hs.,28/10/2025 17:00,Pesos Argentinos,"-0,10%","$119,88","$120,00","$120,00","$120,30","$119,30",V$24.875.138.172,$29.774.295.519,6.271
,,,,,,,,,,,,,,
,S29Y6,LETRAS TESORO NAC,Inmed.,28/10/2025 16:46,Pesos Argentinos,"2,27%","$112,50","$116,00","$110,00","$116,00","$107,00",V$195.126.848,$212.540.236,219
,,,,,,,,,,,,,,
,S29Y6,LETRAS TESORO NAC,24 hs.,28/10/2025 17:00,Pesos Argentinos,"0,63%","$110,90","$112,70","$110,20","$112,70","$107,70",V$1.763.494.378,$1.932.413.811,566
,,,,,,,,,,,,,,
,S2N5C,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,08","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,S2N5C,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,S2N5D,LETRAS TESORO NAC,Inmed.,28/10/2025 16:00,Dólar Estadounidense,"12,16%","$0,08","$0,08","$0,07","$0,08","$0,08",V$1.000.579,$810,4
,,,,,,,,,,,,,,
,S2N5D,LETRAS TESORO NAC,24 hs.,28/10/2025 16:30,Dólar Estadounidense,"9,21%","$0,08","$0,08","$0,08","$0,08","$0,08",V$210.166,$174,7
,,,,,,,,,,,,,,
,S2N5X,LETRAS TESORO NAC,Inmed.,28/10/2025 14:16,Pesos Argentinos,"0,00%","$119,90","$0,00","$119,50","$120,05","$119,50",V$8.836.113.428,$10.588.910.000,3
,,,,,,,,,,,,,,
,S2N5X,LETRAS TESORO NAC,24 hs.,28/10/2025 16:16,Pesos Argentinos,"0,00%","$119,65","$0,00","$119,39","$120,17","$119,65",V$8.336.113.428,$9.993.449.145,4
,,,,,,,,,,,,,,
,S2N5Y,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,S2N5Y,LETRAS TESORO NAC,24 hs.,28/10/2025 09:17,Dólar Estadounidense,"0,00%","$0,00","$0,00","$0,07","$0,00","$0,00",V$0,$0,0
,,,,,,,,,,,,,,
,S2N5Z,LETRAS TESORO NAC,Inmed.,28/10/2025 09:17,Dólar Cable,"0,00%","$0,00","$0,00","$0,08","$0,00","$0,00",V$0,$0,0
